"","O3","T12"
"1",63.6,13.4
"2",89.6,15
"3",79,7.9
"4",81.2,13.1
"5",88,14.1
"6",68.4,16.7
"7",139,26.8
"8",78.2,18.4
"9",113.8,27.2
"10",41.8,20.6
"11",65,21
"12",73,17.4
"13",126.2,26.9
"14",127.8,25.5
"15",61.6,19.4
"16",63.6,20.8
"17",134.2,29.5
"18",67.2,21.7
"19",87.8,19.7
"20",96.8,19
"21",89.6,20.7
"22",66.4,18
"23",60,17.4
"24",90.8,16.3
"25",104.2,13.6
"26",70,15.8
"27",96.2,26
"28",65.6,23.5
"29",109.2,26.3
"30",86.2,21.8
"31",87.4,24.8
"32",84,25.2
"33",83,24.6
"34",59.6,16.8
"35",52,17.1
"36",73.8,18
"37",129,28.9
"38",122.4,23.4
"39",106.6,13
"40",121.8,26
"41",116.2,24.9
"42",81.4,18.4
"43",88.6,18.7
"44",63,20.4
"45",104,19.6
"46",88.4,23.2
"47",83.8,19.8
"48",56.4,18.9
"49",50.4,19.7
"50",79.2,21.1
